Crash ID,Agency,City,County,Crash Death Count,Crash Severity,Crash Year,Day of Week,Latitude,Longitude,Charge
14840114,Waco Police Department,Waco,McLennan,0,Non-Incapacitating Injury,2016,Friday,31.5234757,-97.19138689,No Data
14840114,Waco Police Department,Waco,McLennan,0,Non-Incapacitating Injury,2016,Friday,31.5234757,-97.19138689,No Data
14840612,Houston Police Department,Houston,Harris,0,Incapacitating Injury,2016,Friday,29.82882421,-95.35479849,"ARRESTED FOR INTOX ASSAULT, ARRESTED FOR FSRA"
14840612,Houston Police Department,Houston,Harris,0,Incapacitating Injury,2016,Friday,29.82882421,-95.35479849,No Data
14840612,Houston Police Department,Houston,Harris,0,Incapacitating Injury,2016,Friday,29.82882421,-95.35479849,No Data
14840612,Houston Police Department,Houston,Harris,0,Incapacitating Injury,2016,Friday,29.82882421,-95.35479849,No Data
14840787,Cedar Park Police Department,Cedar Park,Williamson,0,Possible Injury,2016,Friday,30.48130474,-97.82560243,DWI
14841061,Bexar County Law Enforcement,Rural Bexar County,Bexar,0,Not Injured,2016,Friday,29.40492944,-98.68342593,DWI
14841522,Sherman Police Department,Sherman,Grayson,0,Non-Incapacitating Injury,2016,Friday,33.63565409,-96.62888256,DRIVING WHIE INTOXICATED
14841794,McAllen Police Department,McAllen,Hidalgo,0,Possible Injury,2016,Friday,26.20741337,-98.24006096,DRIVING WHILE INTOXICATED
14841924,Fort Worth Police Department,Fort Worth,Tarrant,0,Incapacitating Injury,2016,Friday,32.79518127,-97.32159424,No Data
14841924,Fort Worth Police Department,Fort Worth,Tarrant,0,Incapacitating Injury,2016,Friday,32.79518127,-97.32159424,No Data
14841924,Fort Worth Police Department,Fort Worth,Tarrant,0,Incapacitating Injury,2016,Friday,32.79518127,-97.32159424,No Data
14841924,Fort Worth Police Department,Fort Worth,Tarrant,0,Incapacitating Injury,2016,Friday,32.79518127,-97.32159424,No Data
14841924,Fort Worth Police Department,Fort Worth,Tarrant,0,Incapacitating Injury,2016,Friday,32.79518127,-97.32159424,No Data
14841924,Fort Worth Police Department,Fort Worth,Tarrant,0,Incapacitating Injury,2016,Friday,32.79518127,-97.32159424,No Data
14841924,Fort Worth Police Department,Fort Worth,Tarrant,0,Incapacitating Injury,2016,Friday,32.79518127,-97.32159424,No Data
14842078,Austin Police Department,Austin,Travis,0,Not Injured,2016,Friday,No Data,No Data,DWI
14842078,Austin Police Department,Austin,Travis,0,Not Injured,2016,Friday,No Data,No Data,No Data
14842153,Houston Police Department,Houston,Harris,0,Not Injured,2016,Friday,29.85916624,-95.40232687,No Data
14842298,Bedford Police Department,Bedford,Tarrant,0,Not Injured,2016,Friday,32.83602118,-97.13335171,"DRIVING WHILE INTOXICATED, FAIL TO STOP AND RENDER AID  >= 200"
14842298,Bedford Police Department,Bedford,Tarrant,0,Not Injured,2016,Friday,32.83602118,-97.13335171,No Data
14842298,Bedford Police Department,Bedford,Tarrant,0,Not Injured,2016,Friday,32.83602118,-97.13335171,No Data
14842298,Bedford Police Department,Bedford,Tarrant,0,Not Injured,2016,Friday,32.83602118,-97.13335171,No Data
14842298,Bedford Police Department,Bedford,Tarrant,0,Not Injured,2016,Friday,32.83602118,-97.13335171,No Data
14842423,"Department Of Public Safety, State Of Texas",Rural Van Zandt County,Van Zandt,0,Not Injured,2016,Friday,32.55694776,-95.84949532,DWI 1ST
14842997,Dallas Police Department,Highland Park,Dallas,0,Not Injured,2016,Friday,32.8298454,-96.8044417,No Data
14843082,Arlington Police Department,Arlington,Tarrant,0,Not Injured,2016,Friday,32.65494489,-97.1963273,DWI
14843115,Pasadena Police Department,Pasadena,Harris,0,Not Injured,2016,Friday,29.69798545,-95.17674847,No Data
14843255,Houston Police Department,Houston,Harris,1,Killed,2016,Friday,29.71366822,-95.50264172,No Data
14844326,Carthage Police Department,Carthage,Panola,0,Non-Incapacitating Injury,2016,Friday,32.17286524,-94.34049771,"DWI 1ST MB, NO DRIVERS LICENSE, UNSAFE SPEED"
14844412,Austin Police Department,Austin,Travis,0,Not Injured,2016,Friday,30.26811004,-97.73377421,ARRESTED FOR DWI
14844412,Austin Police Department,Austin,Travis,0,Not Injured,2016,Friday,30.26811004,-97.73377421,No Data
14844822,"Department Of Public Safety, State Of Texas",The Colony,Denton,0,Not Injured,2016,Friday,33.06305443,-96.89522843,DRIVING WHILE INTOXICATED
14845479,"Department Of Public Safety, State Of Texas",Rural Freestone County,Freestone,0,Incapacitating Injury,2016,Friday,31.66117127,-96.1080403,DRIVING WHILE INTOXICATED
14845763,Waco Police Department,Waco,McLennan,0,Possible Injury,2016,Friday,31.54055451,-97.14073255,"DRIVING WHILE INTOXICATED, NO OPERATOR LICENSE, FAIL TO STOP IDENTIFY"
14845765,Harris County Sheriff's Office,Rural Harris County,Harris,0,Not Injured,2016,Friday,29.94248679,-95.52346672,DRIVING WHILE INTOXICATED
14845765,Harris County Sheriff's Office,Rural Harris County,Harris,0,Not Injured,2016,Friday,29.94248679,-95.52346672,No Data
14845765,Harris County Sheriff's Office,Rural Harris County,Harris,0,Not Injured,2016,Friday,29.94248679,-95.52346672,No Data
14845769,Harris County Sheriff's Office,Houston,Harris,0,Incapacitating Injury,2016,Friday,29.93237478,-95.38206409,DRIVING WHILE INTOXICATED
14846506,Round Rock Police Department,Round Rock,Williamson,0,Non-Incapacitating Injury,2016,Friday,30.51809914,-97.66813069,DRIVING WHILE INTOXICATED
14846506,Round Rock Police Department,Round Rock,Williamson,0,Non-Incapacitating Injury,2016,Friday,30.51809914,-97.66813069,PUBLIC INTOXICATION
14846506,Round Rock Police Department,Round Rock,Williamson,0,Non-Incapacitating Injury,2016,Friday,30.51809914,-97.66813069,No Data
14846506,Round Rock Police Department,Round Rock,Williamson,0,Non-Incapacitating Injury,2016,Friday,30.51809914,-97.66813069,No Data
14846536,Fort Worth Police Department,Fort Worth,Tarrant,0,Not Injured,2016,Friday,32.73404361,-97.41104376,DWI
14846544,Dallas Police Department,Dallas,Dallas,0,Incapacitating Injury,2016,Friday,32.72094427,-96.86888256,No Data
14846544,Dallas Police Department,Dallas,Dallas,0,Incapacitating Injury,2016,Friday,32.72094427,-96.86888256,No Data
14846544,Dallas Police Department,Dallas,Dallas,0,Incapacitating Injury,2016,Friday,32.72094427,-96.86888256,No Data
14846544,Dallas Police Department,Dallas,Dallas,0,Incapacitating Injury,2016,Friday,32.72094427,-96.86888256,No Data
14847775,San Antonio Police Department,San Antonio,Bexar,0,Non-Incapacitating Injury,2016,Friday,29.42451455,-98.42559803,"DWI, FAILURE TO STOP AND RENDER AID"
14847775,San Antonio Police Department,San Antonio,Bexar,0,Non-Incapacitating Injury,2016,Friday,29.42451455,-98.42559803,No Data
14848444,Fort Bend County Sheriff's Office,Rural Fort Bend County,Fort Bend,0,Not Injured,2016,Friday,29.66320708,-95.63969947,DWI
14848665,"Department Of Public Safety, State Of Texas",Rural San Patricio County,San Patricio,0,Non-Incapacitating Injury,2016,Friday,27.91691234,-97.31297494,"DRIVING WHILE LICENSE INV W/PREV CONV/SUSP-W/O FIN RESP, DRIVING WHILE INTOXICATED 1ST"
14848665,"Department Of Public Safety, State Of Texas",Rural San Patricio County,San Patricio,0,Non-Incapacitating Injury,2016,Friday,27.91691234,-97.31297494,No Data
14848675,Harris County Sheriff's Office,Rural Harris County,Harris,0,Not Injured,2016,Friday,29.84617227,-95.57009404,DRIVING WHILE INTOXICATED
14848795,Austin Police Department,Austin,Travis,0,Possible Injury,2016,Friday,30.25167669,-97.70840582,"DRIVING WHILE INTOXICATED, POSSESSION OF MARIJUANA"
14849087,Dayton Police Department,Dayton,Liberty,0,Not Injured,2016,Friday,30.04993473,-94.8885032,"DWI 2ND, EVADING ARREST DET W/VEH"
14849521,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Friday,29.53567175,-98.49089946,DWI / BAC .15 OR HIGHER
14849521,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Friday,29.53567175,-98.49089946,No Data
14849521,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Friday,29.53567175,-98.49089946,No Data
14850440,El Paso County Sheriff's Office,Rural El Paso County,El Paso,0,Not Injured,2016,Friday,31.4504369,-106.0901581,No Data
14851727,Arlington Police Department,Arlington,Tarrant,0,Not Injured,2016,Friday,32.76264427,-97.07566249,DWI
14851727,Arlington Police Department,Arlington,Tarrant,0,Not Injured,2016,Friday,32.76264427,-97.07566249,No Data
14851905,"Department Of Public Safety, State Of Texas",Rural Bell County,Bell,0,Not Injured,2016,Friday,31.00780463,-97.68228244,"UNSAFE SPEED, DRIVING WHILE INTOXICATED"
14851905,"Department Of Public Safety, State Of Texas",Rural Bell County,Bell,0,Not Injured,2016,Friday,31.00780463,-97.68228244,No Data
14852155,Addison Police Department,Addison,Dallas,0,Not Injured,2016,Friday,32.96144508,-96.82660624,DRIVING WHILE INTOXICATED
14852155,Addison Police Department,Addison,Dallas,0,Not Injured,2016,Friday,32.96144508,-96.82660624,No Data
14852261,"Department Of Public Safety, State Of Texas",Wichita Falls,Wichita,0,Not Injured,2016,Friday,33.86970771,-98.60714818,DRIVING WHILE INTOXICATED
14854254,"Department Of Public Safety, State Of Texas",Rural Hidalgo County,Hidalgo,0,Not Injured,2016,Friday,26.12633637,-97.99160519,"DRIVING WHILE INTOXICATED, UNSAFE SPEED"
14855006,"Department Of Public Safety, State Of Texas",Rural Ector County,Ector,0,Incapacitating Injury,2016,Friday,31.75053045,-102.3605182,INTOXICATION ASSAULT
14855006,"Department Of Public Safety, State Of Texas",Rural Ector County,Ector,0,Incapacitating Injury,2016,Friday,31.75053045,-102.3605182,No Data
14855045,Missouri City Police Department,Missouri City,Fort Bend,0,Not Injured,2016,Friday,29.53848799,-95.53234311,DWI
14855045,Missouri City Police Department,Missouri City,Fort Bend,0,Not Injured,2016,Friday,29.53848799,-95.53234311,No Data
14857003,El Paso County Sheriff's Office,Rural El Paso County,El Paso,0,Not Injured,2016,Friday,31.82395839,-106.2864407,DWI
14861600,"Department Of Public Safety, State Of Texas",Rural Cameron County,Cameron,0,Not Injured,2016,Friday,26.12368481,-97.49177837,DRIVING WHILE INTOXICATED WITH CHILD YOUNGER THAN 15 YOA
14861600,"Department Of Public Safety, State Of Texas",Rural Cameron County,Cameron,0,Not Injured,2016,Friday,26.12368481,-97.49177837,No Data
14861600,"Department Of Public Safety, State Of Texas",Rural Cameron County,Cameron,0,Not Injured,2016,Friday,26.12368481,-97.49177837,No Data
14865569,El Paso County Sheriff's Office,Rural El Paso County,El Paso,0,Not Injured,2016,Friday,31.81973348,-106.1675517,IMPROPER RIGHT HAND TURN
14865569,El Paso County Sheriff's Office,Rural El Paso County,El Paso,0,Not Injured,2016,Friday,31.81973348,-106.1675517,No Data
14866627,"Department Of Public Safety, State Of Texas",Riverside,Walker,0,Non-Incapacitating Injury,2016,Friday,30.8523657,-95.39697373,DRIVING WHILE INTOXICATED 1ST
14867444,Odessa Police Department,Odessa,Ector,0,Not Injured,2016,Friday,31.87038778,-102.3064395,"DRIVING WHILE INTOXICATED, FTYROW"
14867444,Odessa Police Department,Odessa,Ector,0,Not Injured,2016,Friday,31.87038778,-102.3064395,DRIVING WHILE INTOXICATED
14868159,Round Rock Police Department,Round Rock,Williamson,0,Not Injured,2016,Friday,30.53451576,-97.61393863,"UCW, DWI"
14878050,"Department Of Public Safety, State Of Texas",Rural Smith County,Smith,0,Not Injured,2016,Friday,32.45808337,-95.31024541,"DRIVING WHILE INTOXICATED 1ST, DRIVING WHILE LICENSE INVALID"
14878050,"Department Of Public Safety, State Of Texas",Rural Smith County,Smith,0,Not Injured,2016,Friday,32.45808337,-95.31024541,No Data
14880118,Pearland Police Department,Pearland,Brazoria,0,Not Injured,2016,Friday,29.53787366,-95.22355473,DRIVING WHILE INTOXICATED MB
14883408,Pasadena Police Department,Pasadena,Harris,0,Not Injured,2016,Friday,29.71074079,-95.2155938,DWI
14891512,Alpine Police Department,Alpine,Brewster,0,Not Injured,2016,Friday,30.36084852,-103.6506732,DRIVING WHILE INTOXICATED BLOOD ALCOHOL CONTENT>=0.150 MISD
14839344,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.49606028,-98.51118453,DWI
14839344,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.49606028,-98.51118453,No Data
14839954,San Antonio Police Department,San Antonio,Bexar,1,Killed,2016,Saturday,29.4343685,-98.47793295,NO CHARGES
14839954,San Antonio Police Department,San Antonio,Bexar,1,Killed,2016,Saturday,29.4343685,-98.47793295,NO CHARGES
14839954,San Antonio Police Department,San Antonio,Bexar,1,Killed,2016,Saturday,29.4343685,-98.47793295,NO CHARGES
14839966,El Paso Police Department,El Paso,El Paso,0,Non-Incapacitating Injury,2016,Saturday,31.70170755,-106.3155337,DRIVING WHILE INTOXICATED BAC >= 0.15
14839966,El Paso Police Department,El Paso,El Paso,0,Non-Incapacitating Injury,2016,Saturday,31.70170755,-106.3155337,No Data
14840039,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.48393601,-98.40320754,DRIVING WHILE INTOXICATED  3RD OR MORE
14840039,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.48393601,-98.40320754,No Data
14840039,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.48393601,-98.40320754,No Data
14840053,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.45294497,-98.49931231,No Data
14840053,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.45294497,-98.49931231,No Data
14840053,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.45294497,-98.49931231,DRIVING WHILE INTOXICATED
14840053,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.45294497,-98.49931231,No Data
14840053,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.45294497,-98.49931231,No Data
14840956,Amarillo Police Department,Amarillo,Potter,0,Not Injured,2016,Saturday,35.23134509,-101.831227,No Data
14841592,Corsicana Police Department,Corsicana,Navarro,0,Not Injured,2016,Saturday,32.09790501,-96.43711507,DRIVING WHILE INTOXICATED
14841592,Corsicana Police Department,Corsicana,Navarro,0,Not Injured,2016,Saturday,32.09790501,-96.43711507,No Data
14842022,"Department Of Public Safety, State Of Texas",Rural Lubbock County,Lubbock,0,Not Injured,2016,Saturday,33.49755849,-102.0307245,DRIVING WHILE INTOXICATED 1ST OFFENSE
14842127,Austin Police Department,Austin,Travis,0,Not Injured,2016,Saturday,30.20529499,-97.64355877,"FTMFR / FTMACD / OPEN CONTAINER (ALL WARNINGS), DWI"
14842127,Austin Police Department,Austin,Travis,0,Not Injured,2016,Saturday,30.20529499,-97.64355877,No Data
14842127,Austin Police Department,Austin,Travis,0,Not Injured,2016,Saturday,30.20529499,-97.64355877,No Data
14842127,Austin Police Department,Austin,Travis,0,Not Injured,2016,Saturday,30.20529499,-97.64355877,No Data
14842127,Austin Police Department,Austin,Travis,0,Not Injured,2016,Saturday,30.20529499,-97.64355877,No Data
14842183,Austin Police Department,Austin,Travis,0,Possible Injury,2016,Saturday,30.34225502,-97.69817194,DWI
14842183,Austin Police Department,Austin,Travis,0,Possible Injury,2016,Saturday,30.34225502,-97.69817194,No Data
14842817,"Department Of Public Safety, State Of Texas",Rural Harris County,Harris,0,Possible Injury,2016,Saturday,29.91508807,-95.30836227,"DRIVING WHILE INTOXICATED, FSRA > $200.00 DAMAGE"
14842817,"Department Of Public Safety, State Of Texas",Rural Harris County,Harris,0,Possible Injury,2016,Saturday,29.91508807,-95.30836227,No Data
14842999,Dallas Police Department,Dallas,Dallas,0,Possible Injury,2016,Saturday,32.66007345,-96.86956214,No Data
14843028,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,No Data,No Data,DRIVING WHILE INTOXICATED
14843214,El Paso Police Department,El Paso,El Paso,0,Not Injured,2016,Saturday,31.78185389,-106.419993,DRIVING WHILE INTOXICATED
14843214,El Paso Police Department,El Paso,El Paso,0,Not Injured,2016,Saturday,31.78185389,-106.419993,No Data
14843214,El Paso Police Department,El Paso,El Paso,0,Not Injured,2016,Saturday,31.78185389,-106.419993,No Data
14844352,Dallas Police Department,Dallas,Dallas,0,Not Injured,2016,Saturday,32.87321776,-96.77022986,No Data
14844352,Dallas Police Department,Dallas,Dallas,0,Not Injured,2016,Saturday,32.87321776,-96.77022986,No Data
14844356,"Department Of Public Safety, State Of Texas",Rural Nacogdoches County,Nacogdoches,0,Incapacitating Injury,2016,Saturday,31.37382817,-94.42662655,DRIVING WHILE INTOXICATED 1ST
14844440,Round Rock Police Department,Round Rock,Williamson,0,Not Injured,2016,Saturday,30.53534698,-97.69210815,DWI
14844440,Round Rock Police Department,Round Rock,Williamson,0,Not Injured,2016,Saturday,30.53534698,-97.69210815,No Data
14844440,Round Rock Police Department,Round Rock,Williamson,0,Not Injured,2016,Saturday,30.53534698,-97.69210815,No Data
14844830,"Department Of Public Safety, State Of Texas",McKinney,Collin,0,Not Injured,2016,Saturday,33.12617478,-96.73041805,DRIVING WHILE INTOXICATED
14844830,"Department Of Public Safety, State Of Texas",McKinney,Collin,0,Not Injured,2016,Saturday,33.12617478,-96.73041805,No Data
14844830,"Department Of Public Safety, State Of Texas",McKinney,Collin,0,Not Injured,2016,Saturday,33.12617478,-96.73041805,No Data
14846646,Brownsville Police Department,Brownsville,Cameron,0,Non-Incapacitating Injury,2016,Saturday,25.90292672,-97.43257796,"DRIVING WHILE INTOXICATED ""A"" BAC (0.152, 0.155)"
14846646,Brownsville Police Department,Brownsville,Cameron,0,Non-Incapacitating Injury,2016,Saturday,25.90292672,-97.43257796,No Data
14846799,Mineral Wells Police Department,Mineral Wells,Palo Pinto,0,Not Injured,2016,Saturday,32.81080239,-98.09442548,DWI
14846890,Mission Police Department,Mission,Hidalgo,0,Not Injured,2016,Saturday,26.22996368,-98.30707948,No Data
14849417,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.55855495,-98.57869229,DRIVING WHILE INTOXICATED
14849417,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.55855495,-98.57869229,No Data
14849417,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.55855495,-98.57869229,No Data
14849417,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.55855495,-98.57869229,No Data
14849417,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.55855495,-98.57869229,No Data
14849417,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Saturday,29.55855495,-98.57869229,No Data
14849556,Dallas Police Department,Dallas,Dallas,0,Not Injured,2016,Saturday,32.71062203,-96.87428256,No Data
14850664,Harlingen Police Department,Harlingen,Cameron,0,Not Injured,2016,Saturday,26.1998115,-97.69678983,DRIVING WHILE INTOXICATED
14850925,Abilene Police Department,Abilene,Taylor,0,Possible Injury,2016,Saturday,32.42692184,-99.78586578,PC 49.04 DWI
14850925,Abilene Police Department,Abilene,Taylor,0,Possible Injury,2016,Saturday,32.42692184,-99.78586578,No Data
14850925,Abilene Police Department,Abilene,Taylor,0,Possible Injury,2016,Saturday,32.42692184,-99.78586578,No Data
14850925,Abilene Police Department,Abilene,Taylor,0,Possible Injury,2016,Saturday,32.42692184,-99.78586578,No Data
14852251,"Department Of Public Safety, State Of Texas",Rural Brazoria County,Brazoria,0,Not Injured,2016,Saturday,29.38842327,-95.28657403,DRIVING WHILE INTOXICATED WITH BAC > .150
14852251,"Department Of Public Safety, State Of Texas",Rural Brazoria County,Brazoria,0,Not Injured,2016,Saturday,29.38842327,-95.28657403,No Data
14852289,"Department Of Public Safety, State Of Texas",Rural Gillespie County,Gillespie,0,Non-Incapacitating Injury,2016,Saturday,30.26925612,-98.85618965,"DWI 3RD OF MORE, UNSAFE SPEED, EXPIRED DRIVER LICENSE"
14852428,"Department Of Public Safety, State Of Texas",El Lago,Harris,0,Non-Incapacitating Injury,2016,Saturday,29.56614235,-95.05544401,INTOXICATION ASSAULT
14852428,"Department Of Public Safety, State Of Texas",El Lago,Harris,0,Non-Incapacitating Injury,2016,Saturday,29.56614235,-95.05544401,No Data
14852428,"Department Of Public Safety, State Of Texas",El Lago,Harris,0,Non-Incapacitating Injury,2016,Saturday,29.56614235,-95.05544401,No Data
14852519,"Department Of Public Safety, State Of Texas",Rural Bandera County,Bandera,0,Incapacitating Injury,2016,Saturday,29.64614094,-99.48906272,DWI 1ST
14855223,"Department Of Public Safety, State Of Texas",Rural Panola County,Panola,0,Not Injured,2016,Saturday,32.14906316,-94.39678539,DWI 1ST
14855455,"Department Of Public Safety, State Of Texas",Rural Brown County,Brown,0,Not Injured,2016,Saturday,31.72383336,-99.03381227,No Data
14855455,"Department Of Public Safety, State Of Texas",Rural Brown County,Brown,0,Not Injured,2016,Saturday,31.72383336,-99.03381227,No Data
14855455,"Department Of Public Safety, State Of Texas",Rural Brown County,Brown,0,Not Injured,2016,Saturday,31.72383336,-99.03381227,DRIVING WHILE INTOXICATED
14855467,"Department Of Public Safety, State Of Texas",Rural Brown County,Brown,0,Incapacitating Injury,2016,Saturday,31.72071814,-99.01852199,DRIVING WHILE INTOXICATED
14855467,"Department Of Public Safety, State Of Texas",Rural Brown County,Brown,0,Incapacitating Injury,2016,Saturday,31.72071814,-99.01852199,No Data
14856339,Garland Police Department,Garland,Dallas,0,Non-Incapacitating Injury,2016,Saturday,32.91784167,-96.62832139,No Data
14858905,Vernon Police Department,Vernon,Wilbarger,0,Not Injured,2016,Saturday,34.14089411,-99.30574185,DRIVING WHILE INTOXICATED
14859106,Laredo Police Department,Laredo,Webb,0,Not Injured,2016,Saturday,27.49193537,-99.48026214,"NO DRIVER'S LICENSE (WHEN UNLICENSED), DISREGARD POLICE OFFICER, FAIL TO CONTROL SPEED"
14859106,Laredo Police Department,Laredo,Webb,0,Not Injured,2016,Saturday,27.49193537,-99.48026214,No Data
14862559,Garland Police Department,Garland,Dallas,0,Not Injured,2016,Saturday,32.94148868,-96.62236941,No Data
14862559,Garland Police Department,Garland,Dallas,0,Not Injured,2016,Saturday,32.94148868,-96.62236941,No Data
14862559,Garland Police Department,Garland,Dallas,0,Not Injured,2016,Saturday,32.94148868,-96.62236941,No Data
14897923,Gatesville Police Department,Gatesville,Coryell,0,Possible Injury,2016,Saturday,31.40980598,-97.71156965,"ACCIDENT INVOLVING DAMAGE TO A VEHICLE $200 OR MORE, DWI 3RD OR MORE"
15510980,Robstown Police Department,Robstown,Nueces,0,Not Injured,2016,Saturday,27.78903389,-97.66835785,"OPEN CONTAINER, DRIVING WHILE INTOXICATED, FAIL TO CONTROL SPEED"
15510980,Robstown Police Department,Robstown,Nueces,0,Not Injured,2016,Saturday,27.78903389,-97.66835785,No Data
15510980,Robstown Police Department,Robstown,Nueces,0,Not Injured,2016,Saturday,27.78903389,-97.66835785,No Data
14840063,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Sunday,29.43809497,-98.47966232,DWI
14840098,Dallas Police Department,Dallas,Dallas,0,Non-Incapacitating Injury,2016,Sunday,32.81735425,-96.77017258,No Data
14840098,Dallas Police Department,Dallas,Dallas,0,Non-Incapacitating Injury,2016,Sunday,32.81735425,-96.77017258,No Data
14840098,Dallas Police Department,Dallas,Dallas,0,Non-Incapacitating Injury,2016,Sunday,32.81735425,-96.77017258,No Data
14841802,Killeen Police Department,Killeen,Bell,0,Not Injured,2016,Sunday,31.1159883,-97.6839777,DRIVING WHILE INTOXICATED
14842150,Saginaw Police Department,Saginaw,Tarrant,0,Not Injured,2016,Sunday,32.845505,-97.34296268,"DRIVING WHILE INTOXICATED, UNLAWFUL CARRYING WEAPON"
14842195,Austin Police Department,Austin,Williamson,0,Non-Incapacitating Injury,2016,Sunday,30.47062383,-97.79030408,DWI
14842683,San Antonio Police Department,San Antonio,Bexar,0,Not Injured,2016,Sunday,29.34319197,-98.60433091,No Data
